num_gov,mp_id,nome,cargo,data_inicio,data_fim
1,3177,"Mário Soares","Primeiro-Ministro",1976-07-23,1978-01-22
1,,"Albérico Santos Machado","Subsecretário de Estado da Habitação, Urbanismo e Construção",1976-07-23,1978-01-22
1,,"Alfredo Nobre da Costa","Ministro da Indústria e Tecnologia",1976-07-23,1978-01-22
1,,"Alfredo Nobre da Costa","Ministro da Indústria e Tecnologia",1977-03-25,1978-01-22
1,,"Antero Monteiro Dinis","Subsecretário de Estado Adjunto do Primeiro-Ministro",1976-07-23,1978-01-22
1,,"António Azevedo Gomes","Subsecretário de Estado das Florestas",1976-07-28,1976-11-05
1,2927,"António Barreto","Ministro do Comércio e Turismo",1976-07-23,1977-03-25
1,2927,"António Barreto","Ministro da Agricultura e Pescas",1976-11-05,1978-01-22
1,147,"António de Almeida Santos","Ministro da Justiça",1976-07-23,1978-01-22
1,318,"António Lopes Cardoso","Ministro da Agricultura e Pescas",1976-07-23,1976-11-05
1,3230,"António Maldonado Gonelha","Ministro do Trabalho",1977-03-25,1978-01-22
1,3543,"António Sousa Gomes","Ministro do Plano e Coordenação Económica",1976-07-23,1978-01-22
1,3543,"António Sousa Gomes","Ministro da Indústria e Tecnologia",1977-01-07,1977-03-25
1,3691,"Armando Bacelar","Ministro dos Assuntos Sociais",1976-07-23,1978-01-22
1,3273,"Carlos Mota Pinto","Ministro do Comércio e Turismo",1977-03-25,1978-01-22
1,,"Custódio Simões","Subsecretário de Estado do Trabalho",1976-07-28,1977-10-12
1,164,"Eduardo Pereira","Ministro da Habitação, Urbanismo e Construção",1976-07-23,1978-01-22
1,3690,"Emílio Rui Vilar","Ministro dos Transportes e Comunicações",1976-07-23,1978-01-22
1,,"Eurico Ferreira Nunes","Subsecretário de Estado das Finanças",1977-03-25,1978-01-22
1,3186,"Francisco Marcelo Curto","Ministro do Trabalho",1976-07-23,1977-03-25
1,3656,"Henrique de Barros","Ministro de Estado",1976-07-23,1978-01-22
1,,"Henrique Medina Carreira","Ministro das Finanças",1976-07-23,1978-01-22
1,,"Hugo Gonçalves Rocha","Subsecretário de Estado da Administração Interna",1976-07-28,1977-10-12
1,,"João Almeida Pina","Ministro das Obras Públicas",1976-07-23,1978-01-22
1,3802,"João Soares Louro","Subsecretário de Estado da Comunicação Social",1976-07-28,1977-03-25
1,3180,"Jorge Campinos","Ministro sem Pasta",1976-07-23,1978-01-22
1,,"José Achando Cabral","Subsecretário de Estado do Tesouro",1976-07-28,1977-03-25
1,1467,"José Medeiros Ferreira","Ministro dos Negócios Estrangeiros",1976-07-23,1977-10-12
1,,"Ludovico Cândido","Subsecretário de Estado do Orçamento",1977-03-25,1978-01-22
1,,"Manuel da Costa Brás","Ministro da Administração Interna",1976-07-23,1978-01-22
1,,"Mário Firmino Miguel","Ministro da Defesa Nacional",1976-07-23,1978-01-22
1,3177,"Mário Soares","Ministro dos Negócios Estrangeiros",1977-10-12,1978-01-22
1,3055,"Mário Sottomayor Cardia","Ministro da Educação e Investigação Científica",1976-07-23,1978-01-22
1,3183,"Walter Rosa","Ministro da Indústria e Tecnologia",1976-07-23,1977-01-07
2,3177,"Mário Soares","Primeiro-Ministro",1978-01-23,1978-08-27
2,233,"Alberto Oliveira e Silva","Ministro da Administração Interna",1978-01-30,1978-02-27
2,,"Alexandre Sobral Torres","Subsecretário de Estado Adjunto do Ministro das Finanças e Plano",1978-02-06,1978-08-27
2,,"António Arnault","Ministro dos Assuntos Sociais",1978-01-30,1978-08-27
2,147,"António de Almeida Santos","Ministro Adjunto do Primeiro Ministro",1978-01-30,1978-08-27
2,3230,"António Maldonado Gonelha","Ministro do Trabalho",1978-01-30,1978-08-27
2,,"Mário Firmino Miguel","Ministro da Defesa Nacional",1978-01-30,1978-08-27
2,,"António Sousa Gomes","Ministro da Habitação e Obras Públicas",1978-01-30,1978-08-27
2,1740,"Basílio Horta","Ministro do Comércio e Turismo",1978-01-30,1978-08-27
2,3154,"Carlos Melancia","Ministro da Indústria e Tecnologia",1978-01-30,1978-08-27
2,173,"Jaime Gama","Ministro da Administração Interna",1978-02-27,1978-08-27
2,,"José de Oliveira Marques","Subsecretário de Estado do Tesouro",1978-02-27,1978-08-27
2,,"Ludovico Cândido","Subsecretário de Estado do Orçamento",1978-02-06,1978-08-27
2,,"José Santos Pais","Ministro da Justiça",1978-01-30,1978-08-27
2,3200,"Luís Saias","Ministro da Agricultura e Pescas",1978-01-30,1978-08-27
2,3698,"Manuel Ferreira Lima","Ministro dos Transportes e Comunicações",1978-01-30,1978-08-27
2,3055,"Mário Sottomayor Cardia","Ministro da Educação e Cultura",1978-02-27,1978-08-27
2,3068,"Raúl Junqueiro","Subsecretário de Estado Adjunto do Ministro da Educação e Cultura",1978-06-21,1978-08-27
2,3601,"Rui Pena","Ministro da Reforma Administrativa",1978-01-30,1978-08-27
2,3083,"Vitor Constâncio","Ministro das Finanças e Plano",1978-01-30,1978-08-27
2,,"Vítor Sá Machado","Ministro dos Negócios Estrangeiros",1978-01-30,1978-08-27
3,,"Alfredo Nobre da Costa","Primeiro-Ministro",1978-08-28,1978-11-20
3,,"Carlos Costa Freitas","Ministro Adjunto do Primeiro Ministro",1978-08-28,1978-11-20
3,,"Mário Firmino Miguel","Ministro da Defesa Nacional",1978-08-28,1978-11-20
3,,"José da Silva Lopes","Ministro das Finanças e Plano",1978-08-28,1978-11-20
3,,"António Gonçalves Ribeiro","Ministro da Administração Interna",1978-08-28,1978-11-20
3,3054,"Mário Raposo","Ministro da Justiça",1978-08-28,1978-11-20
3,2953,"Carlos Corrêa Gago","Ministro dos Negócios Estrangeiros",1978-08-28,1978-11-20
3,,"Apolinário Vaz Portugal","Ministro da Agricultura e Pescas",1978-08-28,1978-11-20
3,,"Fernando Santos Martins","Ministro da Indústria e Tecnologia",1978-08-28,1978-11-20
3,,"Pedro Pires de Miranda","Ministro do Comércio e Turismo",1978-08-28,1978-11-20
3,,"António da Costa Leal","Ministro do Trabalho",1978-08-28,1978-11-20
3,,"Carlos Lloyd Braga","Ministro da Educação e Cultura",1978-08-28,1978-11-20
3,,"Acácio Pereira Magro","Ministro dos Assuntos Sociais",1978-08-28,1978-11-20
3,,"Amílcar Marques","Ministro dos Transportes e Comunicações",1978-08-28,1978-11-20
3,,"João Almeida Pina","Ministro da Habitação e Obras Públicas",1978-08-28,1978-11-20
3,,"Carlos Moura Pulido","Subsecretário de Estado Adjunto do Ministro da Educação e Cultura",1978-09-07,1978-11-20
3,,"Ludovico Cândido","Subsecretário de Estado do Orçamento",1978-09-07,1978-11-20
4,3273,"Carlos Mota Pinto","Primeiro-Ministro",1978-11-21,1979-07-30
4,,"Álvaro Monjardino","Ministro Adjunto do Primeiro Ministro",1978-11-21,1979-07-30
4,,"José Alberto Loureiro dos Santos","Ministro da Defesa Nacional",1978-11-21,1979-07-30
4,,"Manuel Jacinto Nunes","Ministro das Finanças e Plano",1978-11-21,1979-07-30
4,,"Manuel Jacinto Nunes","Vice Primeiro-Ministro de Assuntos Económicos e Integração Europeia",1978-11-21,1979-07-30
4,,"António Gonçalves Ribeiro","Ministro da Administração Interna",1978-11-21,1979-07-30
4,,"Eduardo Silva Correia","Ministro da Justiça",1978-11-21,1979-07-30
4,,"João de Freitas Cruz","Ministro dos Negócios Estrangeiros",1978-11-21,1979-07-30
4,,"Apolinário Vaz Portugal","Ministro da Agricultura e Pescas",1978-11-21,1979-07-30
4,9,"Álvaro Barreto","Ministro da Indústria e Tecnologia",1978-11-21,1979-07-30
4,,"Abel Repolho Correia","Ministro do Comércio e Turismo",1978-11-21,1979-07-30
4,,"Eusébio Marques de Carvalho","Ministro do Trabalho",1978-11-21,1979-07-30
4,376,"Luís Valente de Oliveira","Ministro da Educação e Investigação Científica",1978-11-21,1979-07-30
4,,"Acácio Pereira Magro","Ministro dos Assuntos Sociais",1978-11-21,1979-07-30
4,,"José Marques da Costa","Ministro dos Transportes e Comunicações",1978-11-21,1979-07-30
4,,"João Almeida Pina","Ministro da Habitação e Obras Públicas",1978-11-21,1979-07-30
4,,"Daniel Proença de Carvalho","Ministro do Comunicação Social",1978-11-21,1979-07-30
4,,"José Lima de Carvalho","Subsecretário de Estado Adjunto do Ministro da Agricultura e Pescas",1978-11-21,1979-07-30
4,3572,"Carlos Alberto Rosa","Subsecretário de Estado Adjunto do Ministro da Educação e Investigação Científica",1978-11-21,1979-07-30
4,,"António Daniel","Subsecretário de Estado da Administração Escolar",1978-11-21,1979-07-30
4,,"António Joaquim Carvalho","Subsecretário de Estado do Orçamento",1978-11-21,1979-07-30
5,,"Maria de Lurdes Pintasilgo","Primeiro-Ministro",1079-07-31,1980-01-02
5,,"Manuel da Costa Brás","Ministro Adjunto para a Administração Interna",1079-07-31,1980-01-02
5,,"Alfredo Bruto da Costa","Ministro da Coordenação Social e dos Assuntos Sociais",1079-07-31,1980-01-02
5,,"Alfredo Bruto da Costa","Ministro dos Assuntos Sociais",1079-07-31,1980-01-02
5,,"José Alberto Loureiro dos Santos","Ministro da Defesa Nacional",1079-07-31,1980-01-02
5,,"João de Freitas Cruz","Ministro dos Negócios Estrangeiros",1079-07-31,1980-01-02
5,,"Pedro Sousa Macedo","Ministro da Justiça",1079-07-31,1980-01-02
5,3526,"António Sousa Franco","Ministro das Finanças",1079-07-31,1980-01-02
5,2953,"Carlos Corrêa Gago","Ministro da Coordenação Económica e do Plano",1079-07-31,1980-01-02
5,3805,"Joaquim da Silva Lourenço","Ministro da Agricultura e Pescas",1079-07-31,1980-01-02
5,,"Fernando Videira","Ministro da Indústria",1079-07-31,1980-01-02
5,,"Acácio Pereira Magro","Ministro do Comércio e Turismo",1079-07-31,1980-01-02
5,,"Jorge Sá Borges","Ministro do Trabalho",1079-07-31,1980-01-02
5,,"Frederico Monteiro da Silva","Ministro dos Transportes e Comunicações",1079-07-31,1980-01-02
5,,"Mário de Azevedo","Ministro da Habitação e Obras Públicas",1079-07-31,1980-01-02
5,,"Luís Veiga da Cunha","Ministro da Educação",1079-07-31,1980-01-02
5,,"João Figueiredo","Ministro da Comunicação Social",1079-07-31,1980-01-02
5,,"José Lima de Carvalho","Subsecretário de Estado Adjunto do Ministro da Agricultura e Pescas",1079-07-31,1980-01-02
5,,"José Varela Pinto","Subsecretário de Estado Adjunto do Ministro dos Transportes e Comunicações",1079-07-31,1980-01-02
5,,"Adérito Sedas Nunes","Ministro da Coordenação Cultural, Cultura e Ciência",1079-08-07,1980-01-02
5,,"Adérito Sedas Nunes","Ministro da Cultura e Ciência",1079-08-07,1980-01-02
6,,"Francisco Sá Carneiro","Primeiro-Ministro",1980-01-03,1980-12-04
6,588,"Diogo Freitas do Amaral","Vice Primeiro-Ministro",1980-12-04,1981-01-08
6,588,"Diogo Freitas do Amaral","Primeiro-Ministro interino",1980-12-04,1981-01-08
6,588,"Diogo Freitas do Amaral","Ministro dos Negócios Estrangeiros",1980-01-03,1981-01-08
6,3158,"Francisco Pinto Balsemão","Ministro Adjunto do Primeiro Ministro",1980-01-03,1981-01-08
6,256,"Eurico de Melo","Ministro da Administração Interna",1980-01-03,1981-01-08
6,,"Adelino Amaro da Costa","Ministro da Defesa",1980-01-03,1980-12-04
6,,"Mário Raposo","Ministro da Justiça",1980-01-03,1981-01-08
6,312,"Aníbal Cavaco Silva","Ministro das Finanças e Plano",1980-01-03,1981-01-08
6,140,"Vítor Pereira Crespo","Ministro da Educação e Ciência",1980-01-03,1981-01-08
6,,"Eusébio Marques de Carvalho","Ministro do Trabalho",1980-01-03,1981-01-08
6,,"João Morais Leitão","Ministro dos Assuntos Sociais",1980-01-03,1981-01-08
6,3215,"António Cardoso e Cunha","Ministro da Agricultura e Pescas",1980-01-03,1981-01-08
6,1740,"Basílio Horta","Ministro do Comércio e Turismo",1980-01-03,1981-01-08
6,9,"Álvaro Barreto","Ministro da Indústria e Energia",1980-01-03,1981-01-08
6,,"João Porto","Ministro da Habitação e Obras Públicas",1980-01-03,1981-01-08
6,,"José Carlos Viana Baptista","Ministro dos Transportes e Comunicações",1980-01-03,1981-01-08
7,3158,"Francisco Pinto Balsemão","Primeiro-Ministro",1981-01-09,1981-09-03
7,1740,"Basílio Horta","Ministro de Estado Adjunto do Primeiro-Ministro",1981-01-09,1981-09-03
7,49,"Fernando do Amaral","Ministro da Administração Interna",1981-01-09,1981-09-03
7,3588,"Luís de Azevedo Coutinho","Ministro da Defesa Nacional",1981-01-09,1981-09-03
7,,"André Gonçalves Pereira","Ministro dos Negócios Estrangeiros",1981-01-09,1981-09-03
7,,"José Menéres Pimentel","Ministro da Justiça",1981-01-09,1981-09-03
7,,"João Morais Leitão","Ministro das Finanças e Plano",1981-01-09,1981-09-03
7,140,"Vitor Pereira Crespo","Ministro da Educação e Ciência",1981-01-09,1981-09-03
7,3059,"Henrique Nascimento Rodrigues","Ministro do Trabalho",1981-01-09,1981-09-03
7,2957,"Carlos Chaves de Macedo","Ministro dos Assuntos Sociais",1981-01-09,1981-09-03
7,3215,"António Cardoso e Cunha","Ministro da Agricultura e Pescas",1981-01-09,1981-09-03
7,,"Alexandre Vaz Pinto","Ministro do Comércio e Turismo",1981-01-09,1981-09-03
7,,"Ricardo Bayão Horta","Ministro da Indústria e Energia",1981-01-09,1981-09-03
7,3420,"Luís Barbosa","Ministro da Habitação e Obras Públicas",1981-01-09,1981-09-03
7,,"José Carlos Viana Baptista","Ministro dos Transportes e Comunicações",1981-01-09,1981-09-03
7,,"João Vaz Serra de Moura","Ministro da Qualidade de Vida",1981-08-03,1981-09-03
7,3264,"Augusto Ferreira do Amaral","Ministro da Qualidade de Vida",1981-01-09,1981-08-03
7,9,"Álvaro Barreto","Ministro da Integração Europeia",1981-01-09,1981-09-03
7,3288,"José Bento Gonçalves","Subsecretário de Estado do Fomento Cooperativo",1981-01-09,1981-09-03
7,,"Maria de Lurdes Orfão","Subsecretário de Estado do Orçamento",1981-01-09,1981-09-03
7,,"Eusébio Marques de Carvalho","Ministro da Reforma Administrativa",1981-01-09,1981-09-03
8,3158,"Francisco Pinto Balsemão","Primeiro-Ministro",1981-09-04,1983-06-08
8,588,"Diogo Freitas do Amaral","Ministro da Defesa Nacional",1981-09-04,1983-06-08
8,588,"Diogo Freitas do Amaral","Vice Primeiro-Ministro",1981-09-04,1983-06-08
8,,"Gonçalo Ribeiro Telles","Ministro de Estado e da Qualidade de Vida",1981-09-04,1983-06-08
8,3270,"João Salgueiro","Ministro de Estado, das Finanças e do Plano",1981-09-04,1983-06-08
8,,"Marcelo Rebelo de Sousa","Ministro dos Assuntos Parlamentares",1982-06-12,1983-06-08
8,49,"Fernando do Amaral","Ministro Adjunto do Primeiro Ministro e dos Assuntos Parlamentares",1981-09-04,1982-06-12
8,,"Ângelo Correia","Ministro da Administração Interna",1981-09-04,1983-06-08
8,,"Vasco Futscher Pereira","Ministro dos Negócios Estrangeiros",1982-06-09,1983-06-08
8,,"André Gonçalves Pereira","Ministro dos Negócios Estrangeiros",1981-09-04,1982-06-09
8,,"José Menéres Pimentel","Ministro da Justiça e da Reforma Administrativa",1981-09-04,1983-06-08
8,,"João Fraústo da Silva","Ministro da Educação e das Universidades",1982-06-12,1983-06-08
8,140,"Vitor Pereira Crespo","Ministro da Educação e das Universidades",1981-09-04,1982-06-12
8,,"Luís Morales","Ministro do Trabalho",1982-06-12,1983-06-08
8,,"António Queirós Martins","Ministro do Trabalho",1981-09-04,1982-06-12
8,3420,"Luís Barbosa","Ministro dos Assuntos Sociais",1981-09-04,1983-06-08
8,1740,"Basílio Horta","Ministro da Agricultura, Comércio e Pescas",1981-09-04,1983-06-08
8,,"Ricardo Bayão Horta","Ministro da Indústria, Energia e Exportação",1981-09-04,1983-06-08
8,1429,"Francisco Lucas Pires","Ministro da Cultura e Coordenação Científica",1981-09-04,1983-06-08
8,,"José Carlos Viana Baptista","Ministro da Habitação, Obras Públicas e Transportes",1981-09-04,1983-06-08
8,,"Luísa Antas","Subsecretário de Estado Adjunto do Ministro dos Assuntos Parlamentares",1981-09-04,1983-06-08
8,,"René Rodrigues da Silva","Subsecretário de Estado da Administração Escolar",1982-06-12,1983-06-08
8,3559,"Amadeu Sá Menezes","Subsecretário de Estado da Agricultura",1982-06-12,1983-06-08
8,,"Manuel Santana Castilho","Subsecretário de Estado dos Assuntos Pedagógicos",1982-06-12,1983-06-08
8,,"Maria de Lurdes Orfão","Subsecretário de Estado do Orçamento",1981-09-04,1983-06-08
8,,"Albino de Azevedo Soares","Subsecretário de Estado da Presidência do Conselho de Ministros",1981-09-04,1983-06-08
8,,"Maria de Lurdes Orfão","Subsecretário de Estado do Orçamento",1981-09-04,1983-06-08
9,3177,"Mário Soares","Primeiro-Ministro",1983-06-09,1985-11-05
9,134,"Rui Machete","Vice Primeiro-Ministro",1985-02-15,1985-11-05
9,134,"Rui Machete","Ministro da Defesa Nacional",1985-02-15,1985-11-05
9,3273,"Carlos Mota Pinto","Vice Primeiro-Ministro",1983-06-09,1985-02-15
9,3273,"Carlos Mota Pinto","Ministro da Defesa Nacional",1983-06-09,1985-02-15
9,147,"António de Almeida Santos","Ministro de Estado",1983-06-09,1985-11-05
9,164,"Eduardo Pereira","Ministro da Administração Interna",1983-06-09,1985-11-05
9,173,"Jaime Gama","Ministro dos Negócios Estrangeiros",1983-06-09,1985-11-05
9,3054,"Mário Raposo","Ministro da Justiça",1985-02-15,1985-11-05
9,134,"Rui Machete","Ministro da Justiça",1983-06-09,1985-02-15
9,,"Ernâni Lopes","Ministro das Finanças e Plano",1983-06-09,1985-11-05
9,334,"João de Deus Pinheiro","Ministro da Educação",1985-02-15,1985-11-05
9,3203,"José Augusto Seabra","Ministro da Educação",1983-06-09,1985-02-15
9,3239,"Amândio de Azevedo","Ministro do Trabalho e Segurança Social",1983-06-09,1985-11-05
9,3230,"António Maldonado Gonelha","Ministro da Saúde",1983-06-09,1985-11-05
9,9,"Álvaro Barreto","Ministro da Agricultura",1984-10-17,1985-11-05
9,3042,"Manuel Soares Costa","Ministro da Agricultura, Florestas e Alimentação",1983-06-09,1984-10-17
9,3147,"José Veiga Simão","Ministro da Indústria e Energia",1983-06-09,1985-11-05
9,287,"Joaquim Ferreira do Amaral","Ministro do Comércio e Turismo",1984-10-17,1985-11-05
9,9,"Álvaro Barreto","Ministro do Comércio e Turismo",1983-06-09,1984-10-17
9,3240,"António Coimbra Martins","Ministro da Cultura",1983-06-09,1985-11-05
9,3154,"Carlos Melancia","Ministro do Equipamento Social",1985-02-15,1985-11-05
9,3085,"João Rosado Correia","Ministro do Equipamento Social",1983-06-09,1985-02-15
9,3465,"Francisco de Sousa Tavares","Ministro da Qualidade de Vida",1984-06-12,1985-11-05
9,314,"António Capucho","Ministro da Qualidade de Vida",1983-06-09,1984-06-12
9,,"José de Almeida Serra","Ministro do Mar",1985-02-15,1985-11-05
9,3154,"Carlos Melancia","Ministro do Mar",1983-06-09,1985-02-15
9,,"Alberto Amorim Pereira","Subsecretário de Estado do Orçamento",1983-06-18,1985-11-05
10,312,"Aníbal Cavaco Silva","Primeiro-Ministro",1985-11-06,1987-08-16
10,256,"Eurico de Melo","Ministro de Estado",1985-11-06,1987-08-16
10,256,"Eurico de Melo","Ministro da Administração Interna",1985-11-06,1987-08-16
10,333,"Fernando Nogueira","Ministro Adjunto e para os Assuntos Parlamentares",1985-11-06,1987-08-16
10,94,"Leonardo Ribeiro de Almeida","Ministro da Defesa Nacional",1985-11-06,1987-08-16
